City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,udachny,66.4167,112.4,14.870000000000005,54,16,3.49,RU,1722797922
1,port-aux-francais,-49.35,70.2167,1.8500000000000227,67,31,10.04,TF,1722797924
2,iqaluit,63.7506,-68.5145,5.850000000000023,93,100,2.06,CA,1722797926
3,san luis de la loma,17.2706,-100.8939,30.890000000000043,62,75,4.11,MX,1722797927
4,sisimiut,66.9395,-53.6735,8.75,76,77,3.7,GL,1722797928
5,grytviken,-54.2811,-36.5092,-1.6399999999999864,96,100,3.93,GS,1722797929
6,port mathurin,-19.6833,63.4167,22.110000000000014,74,13,6.57,MU,1722797714
7,bethel,41.3712,-73.414,29.180000000000007,72,75,2.57,US,1722797920
8,waitangi,-43.9535,-176.5597,6.010000000000048,89,100,6.61,NZ,1722797933
9,aasiaat,68.7098,-52.8699,4.53000000000003,87,88,1.98,GL,1722797934
10,fort st. john,56.2499,-120.8529,12.939999999999998,76,100,6.69,CA,1722797935
11,dudinka,69.4058,86.1778,6.560000000000002,71,0,5.53,RU,1722797936
12,dongola,19.1667,30.4833,35.52000000000004,40,96,4.77,SD,1722797937
13,puerto ayora,-0.7393,-90.3518,24.980000000000018,86,80,2.68,EC,1722797702
14,qamdo,31.1667,97.2333,6.8700000000000045,73,0,1.11,CN,1722797940
15,ilulissat,69.2167,-51.1,6.480000000000018,72,25,1.95,GL,1722797941
16,papatowai,-46.5619,169.4708,6.180000000000007,91,86,3.1,NZ,1722797942
17,benguela,-12.5763,13.4055,19.590000000000032,86,100,2.03,AO,1722797944
18,envira,-7.3,-70.2167,33.09000000000003,44,100,0.51,BR,1722797945
19,adamstown,-25.066,-130.1015,21.410000000000025,76,100,6.0,PN,1722797947
20,polyarnyy,69.1989,33.4478,10.07000000000005,85,0,2.33,RU,1722797709
21,yellowknife,62.456,-114.3525,22.29000000000002,61,40,2.24,CA,1722797950
22,anadyr,64.75,177.4833,4.28000000000003,93,100,9.0,RU,1722797951
23,gadzhiyevo,69.2551,33.3362,9.710000000000036,88,1,2.58,RU,1722797776
24,tobelo,1.7284,128.0095,25.79000000000002,84,100,1.96,ID,1722797953
25,ushuaia,-54.8,-68.3,-0.18999999999999773,59,75,3.09,AR,1722797915
26,al jawf,29.5,38.75,30.210000000000036,16,5,3.52,SA,1722797955
27,rio grande,-32.035,-52.0986,21.060000000000002,95,100,2.25,BR,1722797957
28,puerto santa,-8.9906,-78.6456,19.25,74,9,5.49,PE,1722797958
29,nuuk,64.1835,-51.7216,7.710000000000036,81,17,2.68,GL,1722797898
30,ust-tsilma,65.441,52.1498,15.879999999999995,78,100,4.15,RU,1722797960
31,stanley,54.868,-1.6985,15.950000000000045,85,100,4.3,GB,1722797961
32,gosaba,22.165,88.7998,27.920000000000016,86,100,4.36,IN,1722797963
33,bafq,31.6128,55.4107,37.360000000000014,12,0,2.71,IR,1722797964
34,karratha,-20.7377,116.8463,17.939999999999998,57,0,5.06,AU,1722797965
35,bilibino,68.0546,166.4372,6.490000000000009,72,70,1.36,RU,1722797966
36,sitka,57.0531,-135.33,16.939999999999998,72,20,1.54,US,1722797967
37,qaqortoq,60.7167,-46.0333,8.740000000000009,71,0,3.3,GL,1722797968
38,port lincoln,-34.7333,135.8667,10.620000000000005,84,89,1.16,AU,1722797970
39,nishinoomote,30.7333,131.0,28.57000000000005,81,0,3.08,JP,1722797971
40,edinburgh of the seven seas,-37.0676,-12.3116,13.160000000000025,82,43,13.57,SH,1722797972
41,lichinga,-13.3128,35.2406,17.05000000000001,67,0,1.03,MZ,1722797973
42,buala,-8.145,159.5921,25.460000000000036,89,100,3.23,SB,1722797974
43,blackmans bay,-43.0167,147.3167,8.180000000000007,78,85,0.89,AU,1722797976
44,gizo,-8.103,156.8419,26.410000000000025,81,100,1.74,SB,1722797879
45,saipan,15.1355,145.701,27.390000000000043,83,100,3.09,MP,1722797978
46,kingston,17.997,-76.7936,33.53000000000003,66,20,9.77,JM,1722797845
47,lompoc,34.6391,-120.4579,26.08000000000004,49,0,4.67,US,1722797980
48,labasa,-16.4167,179.3833,22.27000000000004,92,33,2.04,FJ,1722797982
49,lorengau,-2.0226,147.2712,26.54000000000002,81,100,2.92,PG,1722797983
50,boguchany,58.3814,97.4531,13.050000000000011,86,15,0.69,RU,1722797984
51,saint-philippe,-21.3585,55.7679,17.77000000000004,77,41,3.48,RE,1722797985
52,hirara,24.8,125.2833,28.920000000000016,89,40,3.6,JP,1722797941
53,howrah,22.5892,88.3103,28.0,94,75,3.09,IN,1722797726
54,springbok,-29.6643,17.8865,3.9700000000000273,91,9,1.18,ZA,1722797989
55,arno,60.1167,18.6333,17.660000000000025,88,34,1.23,SE,1722797990
56,bashtanka,47.4072,32.4387,22.27000000000004,59,75,4.98,UA,1722797991
57,klyuchi,52.2667,79.1667,18.980000000000018,77,100,1.77,RU,1722797992
58,margaret river,-33.95,115.0667,15.29000000000002,67,76,6.81,AU,1722797994
59,mossel bay,-34.1831,22.146,8.960000000000036,71,9,6.75,ZA,1722797995
60,olonkinbyen,70.9221,-8.7187,6.170000000000016,96,100,3.33,SJ,1722797996
61,eureka,40.8021,-124.1637,15.700000000000045,88,86,0.89,US,1722797997
62,al bawiti,28.3492,28.8659,30.78000000000003,20,0,3.68,EG,1722797998
63,rocha,-34.4833,-54.3333,15.640000000000043,45,96,4.04,UY,1722797999
64,obo,5.3998,26.4869,20.470000000000027,97,82,1.69,CF,1722798002
65,hermanus,-34.4187,19.2345,8.220000000000027,58,98,5.31,ZA,1722798004
66,gornyak,50.9942,81.4661,19.760000000000048,49,87,1.66,RU,1722798005
67,touros,-5.1989,-35.4608,26.27000000000004,65,0,7.44,BR,1722798007
68,albany,42.6001,-73.9662,29.30000000000001,77,64,0.45,US,1722797918
69,longyearbyen,78.2186,15.6401,11.910000000000025,76,0,5.66,SJ,1722798009
70,thompson,55.7435,-97.8558,19.090000000000032,42,75,3.6,CA,1722797938
71,tiksi,71.6872,128.8694,10.25,63,100,3.24,RU,1722798011
72,jimenez,28.3333,-105.4,34.99000000000001,22,82,4.26,MX,1722798013
73,kodiak,57.79,-152.4072,11.730000000000018,94,100,4.63,US,1722798014
74,port alfred,-33.5906,26.891,12.879999999999995,68,100,3.13,ZA,1722798016
75,college,64.8569,-147.8028,16.760000000000048,72,20,2.06,US,1722797737
76,kavieng,-2.5744,150.7967,26.900000000000034,79,100,3.31,PG,1722798019
77,abalak,58.1286,68.5944,14.670000000000016,92,82,0.27,RU,1722798020
